ID;Nazev;Kategorie;Cena;Puvodni_cena;Skladem
5652;Rose bear, hnědý medvídek z růží 25 cm, dekorace;Medvídci z růží;1540;;Ano
5656;Rose bear, světle modrý medvídek z růží 25 cm;Medvídci z růží;1290;;Ano
5661;Rose bear, červený medvídek z růží 17 cm;Medvídci z růží;1040;;Ano
5664;Rose bear, světle modrý chrastící medvídek z růží 17 cm;Medvídci z růží;890;;Ano
5691;Svíčka sójová, Maledivy;Přírodní svíčky;339;;Ne
5753;Svíčka sójová, fialka;Elegantní sklo, Přírodní svíčky;339;;Ne
5821;Vosk sójový do aromalampy, Prosecco Rose, medvídci;Přírodní svíčky;129;;Ne
5824;Vosk sójový do aromalampy, pivoňka;Přírodní svíčky;139;;Ne
5828;Aromalampa, dárkové balení;Přírodní svíčky;299;;Ano
6049;Macramé náramek s minerálním kamenem jadeit bílý;Stylové šperky;159;;Ne
6060;Náramek s minerálním kamenem onyx a hematit;Stylové šperky;139;;Ne
6062;Náramek s minerálním kamenem onyx a hematit pánský;Stylové šperky;109;;Ne
6071;Vosk sójový do aromalampy, levandulové pole, maminka;Přírodní svíčky;109;;Ano
6073;Náramek s minerálním kamenem jadeit tmavě modrý;Stylové šperky;169;;Ne
6078;Náramek s minerálním kamenem jadeit lososový;Stylové šperky;189;;Ne
6080;"Náramek ""křížek"" s minerálním kamenem křemen sněžný";Stylové šperky;159;;Ne
6082;Macramé náramek, minerální kámen jadeit a filigránový korálek;Stylové šperky;109;;Ne
6084;Macramé náramek, hvězda a minerální kámen jadeit žlutý;Stylové šperky;119;;Ne
6088;Macramé náramek, Severka a minerální kámen jadeit žlutý;Stylové šperky;129;;Ne
6092;Macramé náramek slunce, měsíc, hvězda;Stylové šperky;159;;Ne
6096;Macramé náramek srdce a čtyřlístek;Stylové šperky;159;;Ne
6099;Macramé náramek se srdcem a korálky z 18k růžového zlata;Stylové šperky;209;;Ne
6101;Vosk sójový do aromalampy, vanilkové nebe;Přírodní svíčky;139;;Ne
6138;Vosk sójový do aromalampy, šeřík;Přírodní svíčky;149;;Ne
6143;Svíčka sójová, jahoda;Přírodní svíčky;179;;Ano
6166;Svíčka sójová v betonu, Květnatá louka;Přírodní svíčky;319;;Ne
6168;Macramé náramek květina s korálky z hematitu, bílý;Stylové šperky;139;;Ne
6174;Macramé náramek květina s korálky z hematitu, růžový;Stylové šperky;139;;Ne
6176;Macramé náramek květina s korálky z hematitu, šedý;Stylové šperky;139;;Ne
6178;Macramé náramek květina s korálky z hematitu, modrý;Stylové šperky;139;;Ne
6180;Macramé náramek květina s korálky z hematitu, fialový;Stylové šperky;139;;Ne
6182;Macramé náramek květina s korálky z hematitu, černý;Stylové šperky;139;;Ne
6184;Macramé náramek květina s korálky z hematitu, zelený;Stylové šperky;139;;Ne
6186;Macramé náramek květina s korálky z hematitu, červený bordó;Stylové šperky;139;;Ne
6206;"Háčkovaný košík ""Paní učitelko jste jednička""";Trendy háčkování;529;;Ne
6210;"Háčkovaný podtácek ""Paní učitelko jste jednička""";Trendy háčkování;89;;Ne
6214;Svíčka sójová, borůvka;Přírodní svíčky;179;;Ano
6261;Svíčka sójová, meloun;Přírodní svíčky;179;;Ano
6264;Dárkové balení, dárek pro paní učitelku;Přírodní svíčky, Stylové šperky;269;;Ne
6270;Dárkové balení, dárek pro paní učitelku ke konci školního roku;Přírodní svíčky;359;;Ne
